Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
FlixBus,Bharat Benz A/C Seater (2+2),23:50,05:05,05h 15m,INR 440.18,10 Seats available,4.5,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
New Khaira Transport,A/C Seater / Sleeper (2+2),23:10,06:00,06h 50m,INR 500,4 Seats available,"2.2
60",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
New Khaira Transport,A/C Seater / Sleeper (2+1),23:40,04:50,05h 10m,675,2 Seats available,"2.9
31",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
SHRI RAM TRAVELS,A/C Seater (2+2),23:00,04:35,05h 35m,INR 705,17 Seats available,2.4,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
New Khaira TPT,AC Sleeper (2+1),23:15,05:00,05h 45m,INR 900,3 Seats available,"2.8
27",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
RS YADAV SMART BUS,Bharat Benz A/C Seater /Sleeper (2+1),21:40,04:45,07h 05m,INR 799,13 Seats available,"4.1
51",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
New Khaira TPT,AC Sleeper (2+1),20:30,02:50,06h 20m,INR 900,22 Seats available,"4.3
13",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
New Khaira Transport,A/C Seater / Sleeper (2+2),21:00,03:30,06h 30m,INR 450,19 Seats available,"2.2
35",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
New Khaira Transport,A/C Seater / Sleeper (2+1),20:40,03:30,06h 50m,630,14 Seats available,"4.4
16",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
Blue Sky Tour and Travels,A/C Seater / Sleeper (2+1),22:15,04:45,06h 30m,INR 2199,3 Seats available,New,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
SHRI RAM TRAVELS,A/C Seater (2+2),23:59,05:30,05h 31m,INR 249,28 Seats available,"4.9
7",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
Jaiswal Tour and Travels,A/C Seater/Sleeper (2+1),20:30,02:30,06h 00m,INR 700,52 Seats available,"1.3
6",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
New Khaira TPT,A/C Seater / Sleeper (2+2),21:00,03:00,06h 00m,INR 550,1 Seat available,4.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
FlixBus,A/C Seater (2+2),23:35,04:35,05h 00m,INR 440.18,33 Seats available,4.4,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
Jaiswal Tour and Travels,A/C Sleeper (2+1),21:00,03:00,06h 00m,INR 899,6 Seats available,1.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
UPSRTC - MNP0120,Ordinary Non AC Seater 2+3,23:40,02:32,02h 52m,INR 280,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
Gola Bus Service,VE A/C Seater / Sleeper (2+1),22:20,07:00,08h 40m,INR 889,5 Seats available,"4.7
1556",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),21:00,05:15,08h 15m,INR 999,5 Seats available,"4.8
753",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:00,06:15,08h 15m,INR 699,7 Seats available,"4.7
901",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
AdIntrCity SmartBus,A/C Seater / Sleeper (2+1),23:00,07:45,08h 45m,INR 929,12 Seats available,"4.6
339",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
Raj Kalpana Travels Pvt.ltd.,A/C Seater/Sleeper (2+1),22:30,05:30,07h 00m,INR 939,6 Seats available,"4.6
1558",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
International Tourist Centre,VE A/C Seater / Sleeper (2+1),21:30,06:15,08h 45m,INR 790,3 Seats available,"4.6
1207",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:35,07:35,08h 00m,INR 799,10 Seats available,"4.7
609",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
AdIntrCity SmartBus,A/C Semi Sleeper / Sleeper (2+1),23:15,07:45,08h 30m,INR 1149,8 Seats available,"4.2
186",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
Zingbus Plus,A/C Semi Sleeper / Sleeper (2+1),22:10,06:45,08h 35m,943,6 Seats available,"4.5
852",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:45,07:45,08h 00m,INR 1039,12 Seats available,"4.7
578",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
UPSRTC - RBL0022,Ordinary Non AC Seater 2+3,21:20,02:20,05h 00m,INR 341,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Lucknow to Prayagraj(Uttar Pradesh)
UPSRTC - CBG0022,Shatabdi AC Seater 2+2,21:30,02:30,05h 00m,INR 503,37 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Lucknow to Prayagraj(Uttar Pradesh)
UPSRTC - RBL0026,Ordinary Non AC Seater 2+3,22:00,03:00,05h 00m,INR 341,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Lucknow to Prayagraj(Uttar Pradesh)
UPSRTC - ALM0182,Volvo AC Seater 2+2,22:30,03:00,04h 30m,INR 708,39 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Lucknow to Prayagraj(Uttar Pradesh)
UPSRTC - RBL0030,Ordinary Non AC Seater 2+3,22:40,03:40,05h 00m,INR 341,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Lucknow to Prayagraj(Uttar Pradesh)
