Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:15,03:00,05h 45m,INR 450,13 Seats available,"3.7
89",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:45,03:15,05h 30m,450,15 Seats available,"3.5
25",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Yatra Travels,NON AC Seater/ Sleeper (2+1),19:00,23:00,04h 00m,375,16 Seats available,"3.4
53",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Yatra Travels,NON A/C Seater/ Sleeper (2+1),19:30,00:30,05h 00m,425,28 Seats available,3.3,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Yatra Travels,A/C Seater / Sleeper (2+1),20:00,01:30,05h 30m,375,21 Seats available,3.3,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Yatra Travels,NON AC Seater/ Sleeper (2+1),20:30,01:00,04h 30m,375,14 Seats available,"4.3
14",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),20:45,02:30,05h 45m,475,17 Seats available,3.4,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),Bharat Benz A/C Seater (2+1),21:30,02:30,05h 00m,475,13 Seats available,"4.2
6",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),21:45,02:00,04h 15m,405,6 Seats available,"3.0
7",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),20:00,01:15,05h 15m,450,12 Seats available,"2.8
8",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
KIRAN TRAVELS,A/C Seater (2+1),20:40,00:30,03h 50m,450,13 Seats available,"2.2
8",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Zainab Travels (Under ASTC),A/C Seater (2+1),20:30,01:30,05h 00m,INR 800,8 Seats available,3.7,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Nishigandha(Divya Tours & Travels),A/C Seater (2+1),21:15,23:50,02h 35m,550,13 Seats available,New,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Yatra,Non AC Seater (2+2),20:15,03:30,07h 15m,INR 350,40 Seats available,"2.3
13",https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Dhubri to Guwahati
MAA MONOSHA TRAVELS,NON A/C Seater (2+1),20:00,03:30,07h 30m,347,38 Seats available,"2.0
10",https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Dhubri to Guwahati
Yatra Travels,NON AC Seater/ Sleeper (2+1),19:00,00:00,05h 00m,425,21 Seats available,"4.4
33",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Yatra Travels,NON A/C Seater/ Sleeper (2+1),19:30,01:10,05h 40m,425,28 Seats available,"4.8
5",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
RAYAN TRAVELS,Non A/C Seater / Sleeper (2+1),19:30,02:15,06h 45m,INR 500,44 Seats available,"3.2
15",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
PARIJAT TRAVELS(UNDER ASTC),NON A/C Seater (2+1),19:35,02:00,06h 25m,INR 500,18 Seats available,"3.8
7",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Yatra Travels,A/C Seater / Sleeper (2+1),20:00,03:15,07h 15m,525,21 Seats available,4.1,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),20:00,02:00,06h 00m,400,31 Seats available,3.4,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Yatra Travels,NON AC Seater/ Sleeper (2+1),20:30,02:15,05h 45m,425,20 Seats available,"4.4
25",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),20:45,03:30,06h 45m,425,19 Seats available,"4.2
17",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),21:45,03:00,05h 15m,450,7 Seats available,"3.8
24",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Maharathi Travels(UNDER ASTC),NON A/C Seater (2+1),20:55,02:45,05h 50m,375,30 Seats available,"4.1
17",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Puja Transport,NON AC Seater / Sleeper 2+1,20:00,04:30,08h 30m,585,2 Seats available,"3.4
44",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
Puja Transport,Non AC Seater (2+2),20:00,05:00,09h 00m,540,3 Seats available,"3.4
20",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
SANJEEBANI TRAVELS,Non A/C Seater / Sleeper (2+1),21:30,05:00,07h 30m,570,6 Seats available,"3.9
7",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
Neha Travels,NON A/C Sleeper (2+1),22:30,06:30,08h 00m,644,1 Seat available,"1.6
6",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
Neha Travels,NON A/C Seater (2+2),22:10,04:00,05h 50m,666,3 Seats available,"2.0
4",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
Air Bus Travels,NON AC Seater / Sleeper 2+1,21:00,03:00,06h 00m,INR 400,26 Seats available,"3.9
7",https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,North Lakhimpur to Dibrugarh
Laxmi Travels,Bharat Benz A/C Seater /Sleeper (2+1),20:50,00:45,03h 55m,475,19 Seats available,3.9,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,North Lakhimpur to Tezpur
Trishul Transport Service,A/C Seater / Sleeper (2+1),19:15,22:55,03h 40m,450,24 Seats available,"4.3
8",https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Dibrugarh to Jorhat
Purple Wings Coaches,A/C Seater / Sleeper (2+1),20:00,00:20,04h 20m,585,34 Seats available,4.0,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Dibrugarh to Jorhat
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),20:30,03:15,06h 45m,450,26 Seats available,"4.4
28",https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Biswanath Charali to Guwahati
Yatra Travels,NON A/C Seater/ Sleeper (2+1),23:50,06:30,06h 40m,425,23 Seats available,"5.0
7",https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Biswanath Charali to Guwahati
PARIJAT TRAVELS(UNDER ASTC),NON A/C Seater (2+1),23:50,06:30,06h 40m,INR 500,12 Seats available,"3.2
5",https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Biswanath Charali to Guwahati
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),20:00,03:00,07h 00m,INR 450,27 Seats available,"2.8
16",https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Biswanath Charali to Guwahati
